Result of precomputed bitmask
Total states: 30093975536
Total successful (this should be the same number): 30093975536
2407483864	3458438788	4317794344	4774557212	5017010922	5017010922	4774557212	4317794344	3458438788	2407483864
3458438788	4292323972	4980720314	5348335096	5543394682	5543394682	5348335096	4980720314	4292323972	3458438788
4317794344	4980720314	5539435704	5841068044	6001718736	6001718736	5841068044	5539435704	4980720314	4317794344
4774557212	5348335096	5841068044	6121508012	6272257080	6272257080	6121508012	5841068044	5348335096	4774557212
5017010922	5543394682	6001718736	6272257080	6428054040	6428054040	6272257080	6001718736	5543394682	5017010922
5017010922	5543394682	6001718736	6272257080	6428054040	6428054040	6272257080	6001718736	5543394682	5017010922
4774557212	5348335096	5841068044	6121508012	6272257080	6272257080	6121508012	5841068044	5348335096	4774557212
4317794344	4980720314	5539435704	5841068044	6001718736	6001718736	5841068044	5539435704	4980720314	4317794344
3458438788	4292323972	4980720314	5348335096	5543394682	5543394682	5348335096	4980720314	4292323972	3458438788
2407483864	3458438788	4317794344	4774557212	5017010922	5017010922	4774557212	4317794344	3458438788	2407483864
0.080	0.115	0.143	0.159	0.167	0.167	0.159	0.143	0.115	0.080
0.115	0.143	0.166	0.178	0.184	0.184	0.178	0.166	0.143	0.115
0.143	0.166	0.184	0.194	0.199	0.199	0.194	0.184	0.166	0.143
0.159	0.178	0.194	0.203	0.208	0.208	0.203	0.194	0.178	0.159
0.167	0.184	0.199	0.208	0.214	0.214	0.208	0.199	0.184	0.167
0.167	0.184	0.199	0.208	0.214	0.214	0.208	0.199	0.184	0.167
0.159	0.178	0.194	0.203	0.208	0.208	0.203	0.194	0.178	0.159
0.143	0.166	0.184	0.194	0.199	0.199	0.194	0.184	0.166	0.143
0.115	0.143	0.166	0.178	0.184	0.184	0.178	0.166	0.143	0.115
0.080	0.115	0.143	0.159	0.167	0.167	0.159	0.143	0.115	0.080
